-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.801, 80.200, 0.018,  0.148
-183.801, 80.199, 0.017,  0.181
-183.801, 80.199, 0.019,  0.214
-183.800, 80.198, 0.034,  0.247
-183.799, 80.196, 0.044,  0.280
-183.798, 80.192, 0.133,  0.313
-183.795, 80.185, 0.240,  0.346
-183.790, 80.175, 0.319,  0.379
-183.783, 80.162, 0.382,  0.412
-183.776, 80.147, 0.469,  0.445
-183.768, 80.128, 0.585,  0.478
-183.759, 80.105, 0.707,  0.511
-183.747, 80.076, 0.915,  0.544
-183.734, 80.040, 1.112,  0.577
-183.719, 79.997, 1.310,  0.610
-183.704, 79.949, 1.481,  0.643
-183.688, 79.896, 1.639,  0.676
-183.671, 79.839, 1.778,  0.709
-183.654, 79.778, 1.886,  0.742
-183.636, 79.715, 1.942,  0.775
-183.619, 79.652, 1.964,  0.808
-183.602, 79.588, 1.965,  0.841
-183.584, 79.526, 1.949,  0.874
-183.567, 79.464, 1.921,  0.907
-183.550, 79.404, 1.884,  0.940
-183.533, 79.345, 1.841,  0.973
-183.517, 79.288, 1.794,  1.006
-183.500, 79.232, 1.744,  1.039
-183.484, 79.179, 1.668,  1.072
-183.469, 79.128, 1.609,  1.105
-183.454, 79.078, 1.560,  1.138
-183.438, 79.030, 1.523,  1.171
-183.423, 78.982, 1.500,  1.204
-183.408, 78.934, 1.493,  1.237
-183.393, 78.886, 1.505,  1.270
-183.377, 78.838, 1.535,  1.303
-183.361, 78.787, 1.581,  1.336
-183.345, 78.735, 1.639,  1.369
-183.328, 78.680, 1.706,  1.402
-183.310, 78.624, 1.778,  1.435
-183.292, 78.564, 1.851,  1.468
-183.274, 78.503, 1.915,  1.501
-183.256, 78.440, 1.951,  1.534
-183.237, 78.377, 1.963,  1.567
-183.219, 78.315, 1.956,  1.600
-183.202, 78.253, 1.934,  1.633
-183.184, 78.192, 1.901,  1.666
-183.167, 78.132, 1.862,  1.699
-183.151, 78.075, 1.797,  1.732
